지점코드,지점명,측정항목,2026년1월,2026년2월,2026년3월,2026년4월,2026년5월,2026년6월,2026년7월,2026년8월,2026년9월,2026년 10월,2026년11월,2026년12월
1001A05,송천1,음이온계면활성제(ABS),,,0,,,,,,,,,
1001A05,송천1,조류,,,,,,,,,,,,
1001A05,송천1,유량,,,,,,,,,,,,
1001A05,송천1,안티몬(Sb),,,0,,,,,,,,,
1001A05,송천1,비소(As),,,0,,,,,,,,,
1001A05,송천1,바륨(Ba),,,,,,,,,,,,
1001A05,송천1,벤젠,,,,,,,,,,,,
1001A05,송천1,생물화학적산소요구량(BOD),,0.1,0.6,0.4,,,,,,,,
1001A05,송천1,사염화탄소,,,,,,,,,,,,
1001A05,송천1,카드뮴(Cd),,,0,,,,,,,,,
1001A05,송천1,클로로포름,,,,,,,,,,,,
1001A05,송천1,염소이온(Cl-),,,,,,,,,,,,
1001A05,송천1,클로로필-a(Chlorophyll-a),,2.7,2.2,1.6,,,,,,,,
1001A05,송천1,시안(CN),,,0,,,,,,,,,
1001A05,송천1,화학적산소요구량(COD),,2.8,3,2.5,,,,,,,,
1001A05,송천1,색도,,,,,,,,,,,,
1001A05,송천1,크롬(Cr),,,,,,,,,,,,
1001A05,송천1,6가크롬(Cr6+),,,0,,,,,,,,,
1001A05,송천1,구리(Cu),,,,,,,,,,,,
1001A05,송천1,"1,2,-다이클로로에탄",,,,,,,,,,,,
1001A05,송천1,다이클로로메탄,,,,,,,,,,,,
1001A05,송천1,다이에틸헥실프탈레이트(DEHP),,,,,,,,,,,,
1001A05,송천1,"1,4-다이옥세인",,,,,,,,,,,,
1001A05,송천1,용존산소(DO),,13.1,14,12.3,,,,,,,,
1001A05,송천1,용존총질소(DTN),,5.351,5.47,2.823,,,,,,,,
1001A05,송천1,용존총인(DTP),,0.029,0.032,0.059,,,,,,,,
1001A05,송천1,전기전도도(EC),,559,538,171,,,,,,,,
1001A05,송천1,분원성대장균군,,1,0,0,,,,,,,,
1001A05,송천1,용해성 철(Fe),,,,,,,,,,,,
1001A05,송천1,불소(F),,,,,,,,,,,,
1001A05,송천1,헥사클로로벤젠,,,,,,,,,,,,
1001A05,송천1,포름알데히드,,,,,,,,,,,,
1001A05,송천1,수은(Hg),,,0,,,,,,,,,
1001A05,송천1,수위,,,,,,,,,,,,
1001A05,송천1,용해성 망간(Mn),,,,,,,,,,,,
1001A05,송천1,암모니아성 질소(NH3-N),,0.129,0.108,0.04,,,,,,,,
1001A05,송천1,노말헥산추출물질,,,,,,,,,,,,
1001A05,송천1,니켈(Ni),,,,,,,,,,,,
1001A05,송천1,질산성질소(NO3-N),,5.221,4.944,2.782,,,,,,,,
1001A05,송천1,유기인,,,,,,,,,,,,
1001A05,송천1,납(Pb),,,0,,,,,,,,,
1001A05,송천1,폴리클로리네이티드비페닐(PCB),,,,,,,,,,,,
1001A05,송천1,테트라클로로에틸렌(PCE),,,,,,,,,,,,
1001A05,송천1,수소이온농도(pH),,8.5,7.2,7.4,,,,,,,,
1001A05,송천1,페놀류(phenols),,0,0,0,,,,,,,,
1001A05,송천1,인산염 인(PO4-P),,0.017,0.013,0.037,,,,,,,,
1001A05,송천1,셀레늄(Se),,,,,,,,,,,,
1001A05,송천1,부유물질(SS),,1.2,1.6,6.2,,,,,,,,
1001A05,송천1,트리클로로에틸렌(TCE),,,,,,,,,,,,
1001A05,송천1,총대장균군,,320,49,32,,,,,,,,
1001A05,송천1,수온,,1.1,2,5,,,,,,,,
1001A05,송천1,총질소(T-N),,6.169,5.478,2.912,,,,,,,,
1001A05,송천1,총유기탄소(TOC),,2,1.9,1.8,,,,,,,,
1001A05,송천1,총인(T-P),,0.032,0.033,0.061,,,,,,,,
1001A05,송천1,투명도,,,,,,,,,,,,
1001A05,송천1,아연(Zn),,,,,,,,,,,,
1001A06,송천2,음이온계면활성제(ABS),,,,,,,,,,,,
1001A06,송천2,조류,,,,,,,,,,,,
1001A06,송천2,유량,1.031,0.998,2.205,3.384,,,,,,,,
1001A06,송천2,안티몬(Sb),,,,,,,,,,,,
1001A06,송천2,비소(As),,,,,,,,,,,,
1001A06,송천2,바륨(Ba),,,,,,,,,,,,
1001A06,송천2,벤젠,,,,,,,,,,,,
1001A06,송천2,생물화학적산소요구량(BOD),1.7,1.1,1.4,2.4,,,,,,,,
1001A06,송천2,사염화탄소,,,,,,,,,,,,
1001A06,송천2,카드뮴(Cd),,,,,,,,,,,,
1001A06,송천2,클로로포름,,,,,,,,,,,,
1001A06,송천2,염소이온(Cl-),,,,,,,,,,,,
1001A06,송천2,클로로필-a(Chlorophyll-a),,,,,,,,,,,,
1001A06,송천2,시안(CN),,,,,,,,,,,,
1001A06,송천2,화학적산소요구량(COD),2.7,3.1,3.1,3.5,,,,,,,,
1001A06,송천2,색도,,,,,,,,,,,,
1001A06,송천2,크롬(Cr),,,,,,,,,,,,
1001A06,송천2,6가크롬(Cr6+),,,,,,,,,,,,
1001A06,송천2,구리(Cu),,,,,,,,,,,,
1001A06,송천2,"1,2,-다이클로로에탄",,,,,,,,,,,,
1001A06,송천2,다이클로로메탄,,,,,,,,,,,,
1001A06,송천2,다이에틸헥실프탈레이트(DEHP),,,,,,,,,,,,
1001A06,송천2,"1,4-다이옥세인",,,,,,,,,,,,
1001A06,송천2,용존산소(DO),12.7,12.3,11.8,10.4,,,,,,,,
1001A06,송천2,용존총질소(DTN),,,,,,,,,,,,
1001A06,송천2,용존총인(DTP),,,,,,,,,,,,
1001A06,송천2,전기전도도(EC),222,207,246,199,,,,,,,,
1001A06,송천2,분원성대장균군,,,,,,,,,,,,
1001A06,송천2,용해성 철(Fe),,,,,,,,,,,,
1001A06,송천2,불소(F),,,,,,,,,,,,
1001A06,송천2,헥사클로로벤젠,,,,,,,,,,,,
1001A06,송천2,포름알데히드,,,,,,,,,,,,
1001A06,송천2,수은(Hg),,,,,,,,,,,,
1001A06,송천2,수위,2.44,2.42,2.51,2.57,,,,,,,,
1001A06,송천2,용해성 망간(Mn),,,,,,,,,,,,
1001A06,송천2,암모니아성 질소(NH3-N),,,,,,,,,,,,
1001A06,송천2,노말헥산추출물질,,,,,,,,,,,,
